Country,Country
"Delivery Term","Delivery Term"
Add,Add
"Could not successfully delete record(s)","Could not successfully delete record(s)"
"Could not convert object to array","Could not convert object to array"
"Unable to calculate taxes. This could be caused by an invalid address provided in checkout.","Unable to calculate taxes. This could be caused by an invalid address provided in checkout."
"Sales and Use","Sales and Use"
"Gift Options","Gift Options"
Shipping,Shipping
"Failed to write crontab expression.","Failed to write crontab expression."
"Vertex Tax Calculation has been automatically disabled. Display prices in Catalog must be set to ""Excluding Tax"" to use Vertex.","Vertex Tax Calculation has been automatically disabled. Display prices in Catalog must be set to ""Excluding Tax"" to use Vertex."
"Stores affected: ","Stores affected: "
"Store affected: ","Store affected: "
"Click here to go to <a href=""%1"">Price Display Settings</a> and change your settings.","Click here to go to <a href=""%1"">Price Display Settings</a> and change your settings."
"--Please Select--","--Please Select--"
"%1 - Cost and Freight","%1 - Cost and Freight"
"%1 - Cost Insurance and Freight","%1 - Cost Insurance and Freight"
"%1 - Carriage Insurance Paid To","%1 - Carriage Insurance Paid To"
"%1 - Carriage Paid To","%1 - Carriage Paid To"
"%1 - Customer Ships","%1 - Customer Ships"
"%1 - Delivered at Frontier","%1 - Delivered at Frontier"
"%1 - Delivered at Place","%1 - Delivered at Place"
"%1 - Delivered at Terminal","%1 - Delivered at Terminal"
"%1 - Delivery Duty Paid","%1 - Delivery Duty Paid"
"%1 - Delivery Duty Unpaid","%1 - Delivery Duty Unpaid"
"%1 - Delivered Ex Quay Duty Unpaid","%1 - Delivered Ex Quay Duty Unpaid"
"%1 - Ex Works","%1 - Ex Works"
"%1 - Free Along Side Ship","%1 - Free Along Side Ship"
"%1 - Free Carrier","%1 - Free Carrier"
"%1 - Free Onboard Vessel","%1 - Free Onboard Vessel"
"%1 - Supplier Ships","%1 - Supplier Ships"
"Export to file and delete","Export to file and delete"
Delete,Delete
"Product and Shipping","Product and Shipping"
Jurisdiction,Jurisdiction
"When Invoice Created","When Invoice Created"
"When Order Status Is Changed","When Order Status Is Changed"
"Cannot write log entry because no export file is open.","Cannot write log entry because no export file is open."
"Unable to save Customer Code","Unable to save Customer Code"
"Unable to delete Customer Code","Unable to delete Customer Code"
"Unable to save Invoice Sent status","Unable to save Invoice Sent status"
"Unable to delete Invoice Sent status","Unable to delete Invoice Sent status"
"Could not save Log Entry","Could not save Log Entry"
"Could not delete log entry","Could not delete log entry"
"Could not delete log entries","Could not delete log entries"
"Unable to save Order Invoice Sent status","Unable to save Order Invoice Sent status"
"Unable to delete Order Invoice Sent status","Unable to delete Order Invoice Sent status"
"%1 could not delete log entries","%1 could not delete log entries"
"Could not submit invoice to Vertex.","Could not submit invoice to Vertex."
"Could not submit refund to Vertex.","Could not submit refund to Vertex."
"Could not save Vertex invoice refund comment","Could not save Vertex invoice refund comment"
"%1 Please verify your configured Company Code and Trusted ID are correct.","%1 Please verify your configured Company Code and Trusted ID are correct."
"%1 Vertex could not be reached. Please verify your configuration.","%1 Vertex could not be reached. Please verify your configuration."
"%1 Error has been logged.","%1 Error has been logged."
"The Vertex invoice has been refunded.","The Vertex invoice has been refunded."
"The Vertex invoice has been sent.","The Vertex invoice has been sent."
test,test
